County name,Farm per 1000 Cap,Housing Unit Count per Cap,Housing Unit Price,Household Income Mean
Autauga County,5.743199271,0.402365612,432,69841
Baldwin County,3.260603651,0.491261735,447,75019
Barbour County,24.22202151,0.480417111,399,44290
Bibb County,7.907269296,0.408392488,397,51215
Blount County,16.28908133,0.412097136,409,61096
Bullock County,25.24997475,0.45995354,429,36723
Butler County,21.7462752,0.539055653,430,44881
Calhoun County,5.162032862,0.457548507,389,55826
Chambers County,10.49892053,0.485819064,400,49295
Cherokee County,21.6925549,0.560984008,433,50769
Chilton County,11.08713131,0.416867674,394,61873
Choctaw County,17.00962496,0.594424162,385,44483
Clarke County,11.15527053,0.529626953,432,49167
Clay County,30.47966852,0.496664092,356,51852
Cleburne County,16.85004715,0.430870795,384,53319
Coffee County,11.81731076,0.432928777,394,64672
Colbert County,8.505571149,0.474389725,433,56736
Conecuh County,31.41596903,0.580070213,345,42266
Coosa County,15.0617044,0.587114955,458,57063
Covington County,21.43159903,0.494754689,404,50886
Crenshaw County,36.14457831,0.500381272,388,49040
Cullman County,16.99710596,0.426957799,415,60916
Dale County,8.408732299,0.457586834,366,53955
Dallas County,11.19707413,0.533098889,390,36810
DeKalb County,23.85055113,0.421938678,386,51149
Elmore County,5.250324026,0.40733947,402,75553
Escambia County,8.8998089,0.457521158,403,44447
Etowah County,7.024717316,0.46011414,412,53070
Fayette County,20.74008699,0.49158419,387,50733
Franklin County,23.43602937,0.438131392,411,51493
Geneva County,24.98257456,0.460581826,336,50951
Greene County,34.09569244,0.597446331,388,31495
Hale County,25.27123578,0.497089177,390,41325
Henry County,22.49049115,0.504437462,387,60135
Houston County,5.632463471,0.455114021,388,57531
Jackson County,22.92673856,0.461082187,406,49454
Jefferson County,0.598726728,0.465655952,505,64589
Lamar County,20.52720963,0.524772945,379,47447
Lauderdale County,11.58950586,0.459488011,442,59082
Lawrence County,33.93213573,0.456311258,408,60040
Lee County,1.90048284,0.412617715,460,61123
Limestone County,8.373829261,0.365615174,445,83534
Lowndes County,44.38587243,0.508908803,477,35160
